t_ms,true_x,true_y,yaw_deg,map_x,map_y,fused_x,fused_y,enc_x,enc_y,enc_w,imu_ok,seg,auto_state,route_complete,front_cm,left_cm,out_vx,out_vy,map_lim,front_lim,left_lim,clearance,odom_err
11560,2.7310,1.7665,0.00,2.5885,2.6803,2.2118,2.3700,2.2088,2.3687,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9249
11570,2.7310,1.7665,0.00,2.5886,2.6833,2.2118,2.3729,2.2088,2.3714,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9278
11580,2.7310,1.7665,0.00,2.5886,2.6860,2.2119,2.3755,2.2088,2.3739,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9305
11590,2.7310,1.7665,0.00,2.5887,2.6886,2.2119,2.3779,2.2088,2.3762,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9330
11600,2.7310,1.7665,0.00,2.5887,2.6909,2.2119,2.3802,2.2088,2.3783,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9353
11610,2.7310,1.7665,0.00,2.5888,2.6930,2.2119,2.3822,2.2088,2.3802,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9374
11620,2.7310,1.7665,0.00,2.5888,2.6950,2.2120,2.3840,2.2088,2.3818,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9393
11630,2.7310,1.7665,0.00,2.5889,2.6967,2.2120,2.3857,2.2088,2.3833,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9410
11640,2.7310,1.7665,0.00,2.5889,2.6983,2.2120,2.3871,2.2088,2.3846,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9425
11650,2.7310,1.7665,0.00,2.5890,2.6996,2.2121,2.3883,2.2088,2.3857,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9439
11660,2.7310,1.7665,0.00,2.5891,2.7008,2.2121,2.3894,2.2088,2.3866,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9450
11670,2.7310,1.7665,0.00,2.5891,2.7017,2.2121,2.3902,2.2088,2.3873,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9459
11680,2.7310,1.7665,0.00,2.5892,2.7025,2.2121,2.3909,2.2088,2.3878,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9466
11690,2.7310,1.7665,0.00,2.5892,2.7030,2.2122,2.3913,2.2088,2.3880,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9472
11700,2.7310,1.7665,0.00,2.5893,2.7034,2.2122,2.3915,2.2088,2.3881,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9475
